
| #          | Difficulty | Title                                                   | Frequency | Acceptance Rate     | Link                                                                                                                                                                           | Topics                                                                                 |
| 37         | MEDIUM     | Smallest Greater Multiple Made of Two Digits            | 42.5      | 0.47994269340974216 | [https://leetcode.com/problems/smallest-greater-multiple-made-of-two-digits](https://leetcode.com/problems/smallest-greater-multiple-made-of-two-digits)                       | Math, Enumeration                                                                      |
| 38         | MEDIUM     | Random Pick with Weight                                 | 42.5      | 0.4815753456159076  | [https://leetcode.com/problems/random-pick-with-weight](https://leetcode.com/problems/random-pick-with-weight)                                                                 | Array, Math, Binary Search, Prefix Sum, Randomized                                     |
| 39         | MEDIUM     | Rotate Image                                            | 42.5      | 0.776210511901522   | [https://leetcode.com/problems/rotate-image](https://leetcode.com/problems/rotate-image)                                                                                       | Array, Math, Matrix                                                                    |
| 40         | MEDIUM     | Kth Largest Element in an Array                         | 42.5      | 0.6783375817092099  | [https://leetcode.com/problems/kth-largest-element-in-an-array](https://leetcode.com/problems/kth-largest-element-in-an-array)                                                 | Array, Divide & Conquer, Sorting, Heap, Quickselect                                    |
| 41         | MEDIUM     | Minimum Number of Swaps to Make the String Balanced     | 42.5      | 0.7794894077806169  | [https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced](https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced)         | Two Pointers, String, Stack, Greedy                                                    |
| 42         | MEDIUM     | Maximum Number of Integers to Choose From a Range I     | 42.5      | 0.6788995435702021  | [https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-i](https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-i)         | Array, Hash Table, Binary Search, Greedy, Sorting                                      |
| 43         | MEDIUM     | Maximum Subarray                                        | 42.5      | 0.519731200047444   | [https://leetcode.com/problems/maximum-subarray](https://leetcode.com/problems/maximum-subarray)                                                                               | Array, Divide & Conquer, DP                                                            |
| 44         | MEDIUM     | Minimum Increment to Make Array Unique                  | 42.5      | 0.602962697206303   | [https://leetcode.com/problems/minimum-increment-to-make-array-unique](https://leetcode.com/problems/minimum-increment-to-make-array-unique)                                   | Array, Greedy, Sorting, Counting                                                       |
| 45         | MEDIUM     | Divide Players Into Teams of Equal Skill                | 42.5      | 0.6895280964666703  | [https://leetcode.com/problems/divide-players-into-teams-of-equal-skill](https://leetcode.com/problems/divide-players-into-teams-of-equal-skill)                               | Array, Hash Table, Two Pointers, Sorting                                               |
| 46         | MEDIUM     | Coin Change                                             | 42.5      | 0.46233601435136734 | [https://leetcode.com/problems/coin-change](https://leetcode.com/problems/coin-change)                                                                                         | Array, DP, BFS                                                                         |
| 47         | MEDIUM     | Jump Game II                                            | 42.5      | 0.41356124099719216 | [https://leetcode.com/problems/jump-game-ii](https://leetcode.com/problems/jump-game-ii)                                                                                       | Array, DP, Greedy                                                                      |
| 48         | MEDIUM     | Number of Substrings Containing All Three Characters    | 42.5      | 0.730827806214404   | [https://leetcode.com/problems/number-of-substrings-containing-all-three-characters](https://leetcode.com/problems/number-of-substrings-containing-all-three-characters)       | Hash Table, String, Sliding Window                                                     |
| 49         | MEDIUM     | Minimum Non-Zero Product of the Array Elements          | 42.5      | 0.36282762832939425 | [https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements](https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements)                   | Math, Greedy, Recursion                                                                |
| 50         | MEDIUM     | Maximum Product Subarray                                | 42.5      | 0.3478080375550568  | [https://leetcode.com/problems/maximum-product-subarray](https://leetcode.com/problems/maximum-product-subarray)                                                               | Array, DP                                                                              |
| 51         | MEDIUM     | Maximum Number of Integers to Choose From a Range II    | 42.5      | 0.35109327428729586 | [https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-ii](https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-ii)       | Array, Binary Search, Greedy, Sorting                                                  |
| 52         | MEDIUM     | Container With Most Water                               | 42.5      | 0.5757710934228025  | [https://leetcode.com/problems/container-with-most-water](https://leetcode.com/problems/container-with-most-water)                                                             | Array, Two Pointers, Greedy                                                            |
| 53         | MEDIUM     | Count and Say                                           | 42.5      | 0.6023494186098528  | [https://leetcode.com/problems/count-and-say](https://leetcode.com/problems/count-and-say)                                                                                     | String                                                                                 |
| 54         | MEDIUM     | Find Minimum in Rotated Sorted Array                    | 42.5      | 0.5245997741245128  | [https://leetcode.com/problems/find-minimum-in-rotated-sorted-array](https://leetcode.com/problems/find-minimum-in-rotated-sorted-array)                                       | Array, Binary Search                                                                   |
| 55         | MEDIUM     | Lowest Common Ancestor of a Binary Tree                 | 42.5      | 0.6636591858688291  | [https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree](https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree)                                 | Tree, DFS, Binary Tree                                                                 |
| 56         | MEDIUM     | Subarray Product Less Than K                            | 42.5      | 0.5272517598752733  | [https://leetcode.com/problems/subarray-product-less-than-k](https://leetcode.com/problems/subarray-product-less-than-k)                                                       | Array, Binary Search, Sliding Window, Prefix Sum                                       |
| 57         | MEDIUM     | Process Tasks Using Servers                             | 42.5      | 0.4095165572454671  | [https://leetcode.com/problems/process-tasks-using-servers](https://leetcode.com/problems/process-tasks-using-servers)                                                         | Array, Heap                                                                            |
| 58         | MEDIUM     | Delete Node in a Linked List                            | 42.5      | 0.8207034033522322  | [https://leetcode.com/problems/delete-node-in-a-linked-list](https://leetcode.com/problems/delete-node-in-a-linked-list)                                                       | Linked List                                                                            |
| 59         | MEDIUM     | Loud and Rich                                           | 42.5      | 0.6141987951205379  | [https://leetcode.com/problems/loud-and-rich](https://leetcode.com/problems/loud-and-rich)                                                                                     | Array, DFS, Graph, Topological Sort                                                    |
| 60         | MEDIUM     | Subarray Sums Divisible by K                            | 42.5      | 0.5557553261949443  | [https://leetcode.com/problems/subarray-sums-divisible-by-k](https://leetcode.com/problems/subarray-sums-divisible-by-k)                                                       | Array, Hash Table, Prefix Sum                                                          |
| 61         | MEDIUM     | Invalid Transactions                                    | 42.5      | 0.3124488237196469  | [https://leetcode.com/problems/invalid-transactions](https://leetcode.com/problems/invalid-transactions)                                                                       | Array, Hash Table, String, Sorting                                                     |
| 62         | MEDIUM     | 3Sum                                                    | 42.5      | 0.36840316823414626 | [https://leetcode.com/problems/3sum](https://leetcode.com/problems/3sum)                                                                                                       | Array, Two Pointers, Sorting                                                           |
| 63         | MEDIUM     | Koko Eating Bananas                                     | 42.5      | 0.4904249515089255  | [https://leetcode.com/problems/koko-eating-bananas](https://leetcode.com/problems/koko-eating-bananas)                                                                         | Array, Binary Search                                                                   |
| 64         | MEDIUM     | Meeting Scheduler                                       | 42.5      | 0.5525455394675385  | [https://leetcode.com/problems/meeting-scheduler](https://leetcode.com/problems/meeting-scheduler)                                                                             | Array, Two Pointers, Sorting                                                           |
| 65         | MEDIUM     | Amount of Time for Binary Tree to Be Infected           | 42.5      | 0.6345262620835733  | [https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected](https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected)                     | Hash Table, Tree, DFS, BFS, Binary Tree                                                |
| **Hard**   |            |                                                         |           |                     |                                                                                                                                                                                |                                                                                        |
| 66         | HARD       | Minimum Replacements to Sort the Array                  | 79.1      | 0.5326946632994087  | [https://leetcode.com/problems/minimum-replacements-to-sort-the-array](https://leetcode.com/problems/minimum-replacements-to-sort-the-array)                                   | Array, Math, Greedy                                                                    |
| 67         | HARD       | Trapping Rain Water                                     | 62.1      | 0.6481175997810147  | [https://leetcode.com/problems/trapping-rain-water](https://leetcode.com/problems/trapping-rain-water)                                                                         | Array, Two Pointers, DP, Stack, Monotonic Stack                                        |
| 68         | HARD       | Meeting Rooms III                                       | 57.3      | 0.4391064929187018  | [https://leetcode.com/problems/meeting-rooms-iii](https://leetcode.com/problems/meeting-rooms-iii)                                                                             | Array, Hash Table, Sorting, Heap, Simulation                                           |
| 69         | HARD       | Maximum Frequency Stack                                 | 51.1      | 0.6610471197167989  | [https://leetcode.com/problems/maximum-frequency-stack](https://leetcode.com/problems/maximum-frequency-stack)                                                                 | Hash Table, Stack, Design, Ordered Set                                                 |
| 70         | HARD       | Maximum Frequency Score of a Subarray                   | 51.1      | 0.35078401618614063 | [https://leetcode.com/problems/maximum-frequency-score-of-a-subarray](https://leetcode.com/problems/maximum-frequency-score-of-a-subarray)                                     | Array, Hash Table, Math, Stack, Sliding Window                                         |
| 71         | HARD       | Number of Valid Move Combinations on Chessboard         | 51.1      | 0.4760122817117636  | [https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard](https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard)                 | Array, String, Backtracking, Simulation                                                |
| 72         | HARD       | Count Array Pairs Divisible by K                        | 42.5      | 0.3005091123736442  | [https://leetcode.com/problems/count-array-pairs-divisible-by-k](https://leetcode.com/problems/count-array-pairs-divisible-by-k)                                               | Array, Math, Number Theory                                                             |
| 73         | HARD       | Text Justification                                      | 42.5      | 0.4781181746104651  | [https://leetcode.com/problems/text-justification](https://leetcode.com/problems/text-justification)                                                                           | Array, String, Simulation                                                              |
| 74         | HARD       | Minimum Number of Removals to Make Mountain Array       | 42.5      | 0.5494830486945601  | [https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array](https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array)             | Array, Binary Search, DP, Greedy                                                       |
| 75         | HARD       | Paint House III                                         | 42.5      | 0.6095781795115762  | [https://leetcode.com/problems/paint-house-iii](https://leetcode.com/problems/paint-house-iii)                                                                                 | Array, DP                                                                              |
| 76         | HARD       | Minimum Window Substring                                | 42.5      | 0.4509852106932012  | [https://leetcode.com/problems/minimum-window-substring](https://leetcode.com/problems/minimum-window-substring)                                                               | Hash Table, String, Sliding Window                                                     |
| 77         | HARD       | Word Search II                                          | 42.5      | 0.371999539452024   | [https://leetcode.com/problems/word-search-ii](https://leetcode.com/problems/word-search-ii)                                                                                   | Array, String, Backtracking, Trie, Matrix                                              |

---
